Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;age;country-1;country-text;country-other;sex-1;sex-2;sex-3;sex-text;sex-other;education-1;education-2;education-3;education-4;education-5;education-text;education-other;occupation-1;occupation-2;occupation-3;occupation-4;occupation-5;occupation-text;occupation-other;mental_health_disorder_yes_no-1;mental_health_disorder_yes_no-text;mental_health_disorder_yes_no-other;ethnicity-1;ethnicity-2;ethnicity-3;ethnicity-4;ethnicity-text;ethnicity-other;END QUESTIONNAIRE
1;1677853039191;03/03/2023 14:17:19;1677853038719;5.5;03/03/2023 19:47:18;74063;39;questionnaire-s5wi;;27778602;r6c1a7yd;8254854;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;28;;India ;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;;;;South Asian;Other ethnic group (please specify);50888
1;1677855624720;03/03/2023 15:00:24;1677855623262;5.5;03/03/2023 20:30:23;74063;39;questionnaire-s5wi;;27780840;zt5e0pkb;8255340;;complete;;;mobile;undefined RMX3151;Android 12;Chrome 108.0.0.0;804x360;768x212;Social_Task_Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;20;;India;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;;;Southern Asian;Other ethnic group (please specify);43285
1;1677868614615;03/03/2023 18:36:54;1677868615245;5.5;04/03/2023 00:06:55;74063;39;questionnaire-s5wi;;27789503;ksaunjbj;8257404;;complete;;;mobile;Samsung SM-A515F;Android 13;Chrome 110.0.0.0;412x915;412x762;Social_Task_Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;20;;India;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;;;Indian;Other ethnic group (please specify);56078
1;1677873249340;03/03/2023 19:54:09;1677873246883;5.5;04/03/2023 01:24:06;74063;39;questionnaire-s5wi;;27791636;7udrtyvf;8257935;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 110.0.1587.63;1536x864;1536x746;Space Task Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;23;;India;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;;;;Indian;Other ethnic group (please specify);45191
1;1677882607684;03/03/2023 22:30:07;1677882606824;0;03/03/2023 22:30:06;74063;39;questionnaire-s5wi;;27794798;iy8d8ldm;8258757;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1280x720;1280x609;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;20;United Kingdom;;;;Female;;;;;High School;;;;;;;;;Student;;;;No;;;;;;;Arab;Other ethnic group (please specify);21531
1;1677885965221;03/03/2023 23:26:05;1677885965094;0;03/03/2023 23:26:05;74063;39;questionnaire-s5wi;;27795617;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;414x713;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;22;United Kingdom;;;;Female;;;;;High School;;;;;;;;;Student;;;;;depression;Yes (please specify);;;;Mixed or Multiple ethnic background;;;31334
1;1677904031715;04/03/2023 04:27:11;1677904031473;5.5;04/03/2023 09:57:11;74063;39;questionnaire-s5wi;;27797316;gvbuf6jw;8259417;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;24;;India;Other (please specify);;Female;;;;;;Bachelor's Degree;;;;;;;Not employed;;;;;No;;;;Asian or Asian British;;;;;56155
1;1677916856712;04/03/2023 08:00:56;1677916856554;5.5;04/03/2023 13:30:56;74063;39;questionnaire-s5wi;;27797958;r9ta44d3;8259541;;live;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;CEQ_done_no_cannabis;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;;No;26;;India;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;;Depression ;Yes (please specify);;Asian or Asian British;;;;;68563
1;1677920153797;04/03/2023 08:55:53;1677920153645;5.5;04/03/2023 14:25:53;74063;39;questionnaire-s5wi;;27798531;s62q6qbk;8259640;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;23;;India;Other (please specify);;Female;;;;;High School;;;;;;Full time employment;;;;;;;No;;;;Asian or Asian British;;;;;50315
1;1677940900133;04/03/2023 14:41:40;1677940900054;0;04/03/2023 14:41:40;74063;39;questionnaire-s5wi;;27804180;1g2csonp;8261021;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 110.0.0.0;1440x900;1440x693;CEQ_done_no_cannabis;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;;No;21;United Kingdom;;;;Female;;;;;;;Master's Degree;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;28366
1;1677951014178;04/03/2023 17:30:14;1677951014584;3;04/03/2023 20:30:14;74063;39;questionnaire-s5wi;;27807586;i01xunyd;8261917;;complete;;;mobile;undefined Infinix X656;Android 10;Chrome 109.0.0.0;450x1000;450x846;Social_Task_Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;11975
1;1677997767375;05/03/2023 06:29:27;1677997767017;5.5;05/03/2023 11:59:27;74063;39;questionnaire-s5wi;;27815171;ts9imbsy;8263912;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;25;;India;Other (please specify);;Female;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;Asian or Asian British;;;;;32049
1;1678025161806;05/03/2023 14:06:01;1678025161591;0;05/03/2023 14:06:01;74063;39;questionnaire-s5wi;;27822358;etn5739u;8265580;;live;;;mobile;Apple iPhone;iOS 16.1.1;Mobile Safari 16.1;414x896;414x715;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;33;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;;generalized anxiety disorder, depression;Yes (please specify);White;;;;;;71722
1;1678025785964;05/03/2023 14:16:25;1678025785809;5.5;05/03/2023 19:46:25;74063;39;questionnaire-s5wi;;27822576;j924qa4g;8265632;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;22;;India;Other (please specify);;Female;;;;;;Bachelor's Degree;;;;;;;Not employed;;;;;No;;;;Asian or Asian British;;;;;29415
1;1678038668042;05/03/2023 17:51:08;1678038667447;0;05/03/2023 17:51:07;74063;39;questionnaire-s5wi;;27827742;zt3e5yps;8266923;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.2;1440x900;1299x790;Social_Task_Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;21;United Kingdom;;;;Female;;;;;High School;;;;;;;;;Student;;;;No;;;White;;;;;;16967
1;1678053905400;05/03/2023 22:05:05;1678053905307;0;05/03/2023 22:05:05;74063;39;questionnaire-s5wi;;27835141;qbm0q56j;8268506;;complete;;;mobile;Apple iPhone;iOS 16.1.1;Mobile Safari 16.1;390x844;390x664;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;26;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;19472
1;1678099212392;06/03/2023 10:40:12;1678099212196;5.5;06/03/2023 16:10:12;74063;39;questionnaire-s5wi;;27847711;dtb1a93u;8272022;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;31;;India;Other (please specify);;Female;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;;Asian or Asian British;;;;;55778
1;1678108403603;06/03/2023 13:13:23;1678108408071;5.5;06/03/2023 18:43:28;74063;39;questionnaire-s5wi;;27856449;a8m4gm08;8274062;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1366x768;1366x616;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;26;;India;Other (please specify);;Female;;;;;High School;;;;;;;;Not employed;;;;;No;;;;Asian or Asian British;;;;;84415
1;1678115341754;06/03/2023 15:09:01;1678115346391;5.5;06/03/2023 20:39:06;74063;39;questionnaire-s5wi;;27862458;7dmbg1cc;8275629;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1366x768;1366x616;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;28;;India;Other (please specify);Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;;Bipolar, depression;Yes (please specify);;Asian or Asian British;;;;;63876
1;1678158086317;07/03/2023 03:01:26;1678158086015;5.5;07/03/2023 08:31:26;74063;39;questionnaire-s5wi;;27884403;nu125emc;8282170;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 110.0.5481.114;414x896;414x720;Social_Task_Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;27;;India;Other (please specify);;Female;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;;Asian or Asian British;;;;;24972
