Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;Understanding;Reading_Information;Inclusion_Criteria;Withdraw_Keep_Info;Understand_dataprotection;understand_GDPR;Understanding_Not_Identifiable;Use_data_future_research;END QUESTIONNAIRE
1;1673937604533;17/01/2023 06:40:04;1673937605821;5.5;17/01/2023 12:10:05;74063;38;questionnaire-vlry;;26426073;gslco6wl;7799111;;complete;;;mobile;Realme RMX2189;Android 11;Chrome 99.0.4844.58;360x800;360x668;Space Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;6698
1;1673941607049;17/01/2023 07:46:47;1673941602750;5.5;17/01/2023 13:16:42;74063;38;questionnaire-vlry;;26426545;ymg6kpzg;7799312;;live;;;mobile;undefined undefined;Android 9;Firefox 89.0;760x360;716x276;Social Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;8896
1;1674242443109;20/01/2023 19:20:43;1674242443137;0;20/01/2023 19:20:43;74063;38;questionnaire-vlry;;26524386;g1czv0ka;7837403;;complete;;;mobile;Samsung SM-A528B;Android 13;Chrome 109.0.0.0;412x915;412x729;Space Task Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;34451
1;1674412253676;22/01/2023 18:30:53;1674412251829;3;22/01/2023 21:30:51;74063;38;questionnaire-vlry;;26545280;ve8q7vif;7845768;;live;;;mobile;OPPO CPH2349;Android 11;Chrome 94.0.4606.85;360x800;360x620;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;7262
1;1674419209737;22/01/2023 20:26:49;1674419209597;-8;22/01/2023 12:26:49;74063;38;questionnaire-vlry;;26547157;3qzt4gep;7846433;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 108.0.0.0;1366x768;1366x664;Social_Task_Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;20943
1;1674419490292;22/01/2023 20:31:30;1674419489816;3;22/01/2023 23:31:29;74063;38;questionnaire-vlry;;26547264;yy17ihwt;7846467;;live;;;mobile;Samsung SM-A235F;Android 13;Chrome 106.0.0.0;384x857;384x681;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;7459
1;1674420428402;22/01/2023 20:47:08;1674420423225;3;22/01/2023 23:47:03;74063;38;questionnaire-vlry;;26547526;o16z4xyu;7846532;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;14136
1;1674421804807;22/01/2023 21:10:04;1674421799582;3;23/01/2023 00:09:59;74063;38;questionnaire-vlry;;26547920;7cmwzydl;7846658;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;17407
1;1674422126639;22/01/2023 21:15:26;1674422121413;3;23/01/2023 00:15:21;74063;38;questionnaire-vlry;;26548002;idd7zcoc;7846682;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social_Task_Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;13324
1;1674422408521;22/01/2023 21:20:08;1674422408007;3;23/01/2023 00:20:08;74063;38;questionnaire-vlry;;26548077;3a9fs0qf;7846704;;live;;;mobile;Samsung SM-A235F;Android 13;Chrome 106.0.0.0;384x857;384x681;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;8791
